aero.	3600	in	soa	a0.nic.aero. hostmaster.donuts.email. 1753318421 7200 900 1209600 3600
029jm675nm8lbbeb9si0s2aslhtn0mn5.aero.	3600	in	nsec3	1 1 0 73 036KVQ4SF9QR965QJPA2ATB9E19OJF7V NS DS RRSIG
029jm675nm8lbbeb9si0s2aslhtn0mn5.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. hMTuhn+AFTq+RC/YN3FOy9mQZQ5ktEj7xDXFzDKd8PkgM6KOr02ZvSaZNdV0mBM/vG/NmmaL6QQ+8t2T2skfcBxuOtKZRJwcXvF2hPEKaDZhb1ydl47MxKzoLnBodbogmXwJCTwIGhtI/jp7h40BLWXqsXVd8KixMPbBVEPKPmA=
036kvq4sf9qr965qjpa2atb9e19ojf7v.aero.	3600	in	nsec3	1 1 0 73 03BFT0GBQ7KU9K4VRTKO5SNDPIACQGTJ NS SOA RRSIG DNSKEY NSEC3PARAM
036kvq4sf9qr965qjpa2atb9e19ojf7v.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250814005449 20250723235449 54369 aero. A5+TeBxWBnXwIP9j93lvASyqNviacBmU60WOqnBQYEqNPRgIbztmzm4kkNZ0ICtnxoyGDOlzvCXn6dAnDxeLvj3OhHUD5ipzbT7ZCCvYgn2hddzoFpaGfTz5lmFodz1EeZnQuoW6pmmkOkvliB38WnAUEtYmQDXR3seunQDpiJE=
03bft0gbq7ku9k4vrtko5sndpiacqgtj.aero.	3600	in	nsec3	1 1 0 73 0B55D30TKFSR6MRGQ03OV360J1KO8S20 NS DS RRSIG
03bft0gbq7ku9k4vrtko5sndpiacqgtj.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. aUFbwF1hMrVc1Be3zAu2v2yOQOe2Rq3BjNe0J0NXgeWThFznTciOwFLgXHjxbgYlxPQdS6ou6F4gYaAdEIiMuhEPM9Uh0ArP8WaEoqPbSxRaauln80JEPB+GKyt7SRYIvZuu7mXS7GvlJ5v7NcKcy2ihhFTAFdbBd/PCRDtHJt0=
0b55d30tkfsr6mrgq03ov360j1ko8s20.aero.	3600	in	nsec3	1 1 0 73 0IT662O6183K1PJQTP19J5SC9UIA8N4J NS DS RRSIG
0b55d30tkfsr6mrgq03ov360j1ko8s20.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. PAvyH8nOlE0FFw98TfVqnBZ0yWSCe0p5WMjsW+RfQMiK05joAcvxInD9KD5VTKx2OEKkS/96SKkmuR+kOafImsMY/X9TbUTnbyhV3PlU1U7KkZfe7kknJCgGuPbMiJj0CHFn9aVXIzI842zB1YS5JbuWckIc/mdljL0u8BawLW4=
0it662o6183k1pjqtp19j5sc9uia8n4j.aero.	3600	in	nsec3	1 1 0 73 0T3F16TKQ8O25SKRQQE2FUBTS4P4LRV2 NS DS RRSIG
0it662o6183k1pjqtp19j5sc9uia8n4j.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. p30ZVnjSvKZkinZ8aJxj9aoWXGv7HEI4ZSkESJhlhKsQWLGvfqU6j/86gBqf7hPvBV3XhWjPIkOrmF7/c9ovG3bH1W0XdhK1T+8GDyi6JftPxoWlz8yI5L1JgL53SgKyoMG5drOdEp8bPXrQ0FvygTYPjF11WexyvcetxWN+VGI=
