hostname,IPv6
a.ns.basie.school.,2400:cb00:2049:0001:0000:0000:a29f:0899
b.ns.basie.school.,2400:cb00:2049:0001:0000:0000:a29f:09bc
c.ns.basie.school.,2400:cb00:2049:0001:0000:0000:a29f:0afc
d.ns.basie.school.,2400:cb00:2049:0001:0000:0000:a29f:0b3e
e.ns.basie.school.,2400:cb00:2049:0001:0000:0000:adf5:3a35
ns1.jeugdtheater.school.,2001:067c:06b8:0100:0000:0000:0000:0040
ns2.jeugdtheater.school.,2001:067c:06b8:0100:0000:0000:0000:0040
pcw01.sisong.school.,fe80:0000:0000:0000:4001:0aff:feb4:0002
v0n0.nic.school.,2a01:8840:0016:0000:0000:0000:0000:0043
v0n1.nic.school.,2a01:8840:0017:0000:0000:0000:0000:0043
v0n2.nic.school.,2a01:8840:0018:0000:0000:0000:0000:0043
v0n3.nic.school.,2a01:8840:00f4:0000:0000:0000:0000:0043
v2n0.nic.school.,2a01:8840:0019:0000:0000:0000:0000:0043
v2n1.nic.school.,2a01:8840:00f5:0000:0000:0000:0000:0043
