hostname,IPv4
flair.schule.,134.2.234.66
henry-van-de-velde.schule.,51.75.146.118
ns.corvi.schule.,178.77.97.201
ns.stifts.schule.,45.87.158.53
ns1.computer.schule.,185.136.96.111
ns1.henry-van-de-velde.schule.,51.75.146.118
ns1.jungimker.schule.,185.228.137.109
ns1.mehl.schule.,80.67.16.124
ns1.netzwerk.schule.,88.99.187.93
ns1.paf.schule.,178.248.247.48
ns1.pfaffenhofen.schule.,178.248.247.48
ns1.schulbox.smv.schule.,116.203.47.23
ns1.sedoparking.com.pizza.schule.,80.67.16.124
ns1.steinfurt.schule.,185.143.171.131
ns1.weise.schule.,81.169.234.135
ns2.computer.schule.,185.136.97.111
ns2.jungimker.schule.,185.228.137.109
ns2.mehl.schule.,193.223.77.3
ns2.schulbox.smv.schule.,116.203.47.23
ns2.sedoparking.com.pizza.schule.,193.223.77.3
ns2.steinfurt.schule.,185.143.171.132
ns2.weise.schule.,81.169.233.102
ns2.wixdns.net.astridlindgren.schule.,80.67.16.124
ns3.computer.schule.,185.136.98.111
ns3.wixdns.net.astridlindgren.schule.,193.223.77.3
ns4.computer.schule.,185.136.99.111
ns7.medicvidocme.store.medicine.schule.,85.158.145.14
ns8.medicvidocme.store.medicine.schule.,85.158.145.14
v0n0.nic.schule.,65.22.20.68
v0n1.nic.schule.,65.22.21.68
v0n2.nic.schule.,65.22.22.68
v0n3.nic.schule.,161.232.10.68
v2n0.nic.schule.,65.22.23.68
v2n1.nic.schule.,161.232.11.68
www.flair.schule.,134.2.234.66
