SLD,hostname
111ds1d-s88a21.schule.,ns1.dyna-ns.net.
111ds1d-s88a21.schule.,ns2.dyna-ns.net.
11s08.schule.,ns.inwx.de.
11s08.schule.,ns2.inwx.de.
11s08.schule.,ns3.inwx.eu.
123.schule.,ns.udag.de.
123.schule.,ns.udag.net.
123.schule.,ns.udag.org.
123b.schule.,dns1.registrar-servers.com.
123b.schule.,dns2.registrar-servers.com.
1337.schule.,dns1.registrar-servers.com.
1337.schule.,dns2.registrar-servers.com.
14plus.schule.,ns1.variomedia.de.
14plus.schule.,ns2.variomedia.de.
15minuten.schule.,ns25.domaincontrol.com.
15minuten.schule.,ns26.domaincontrol.com.
188bet.schule.,jobs.ns.cloudflare.com.
188bet.schule.,venus.ns.cloudflare.com.
1to1.schule.,ns.hostpoint.ch.
1to1.schule.,ns2.hostpoint.ch.
1to1.schule.,ns3.hostpoint.ch.
1und1.schule.,ns01.versatel.de.
1und1.schule.,ns02.versatel.de.
1und1.schule.,ns04.versatel.de.
1x1.schule.,ns5.kasserver.com.
1x1.schule.,ns6.kasserver.com.
22637.schule.,n1.xundns.com.
22637.schule.,n2.xundns.com.
25399.schule.,n1.xundns.com.
25399.schule.,n2.xundns.com.
27938.schule.,n1.xundns.com.
27938.schule.,n2.xundns.com.
29775.schule.,n1.xundns.com.
29775.schule.,n2.xundns.com.
2b-dreamteam-hunde.schule.,ns-de.1and1-dns.biz.
2b-dreamteam-hunde.schule.,ns-de.1and1-dns.com.
2b-dreamteam-hunde.schule.,ns-de.1and1-dns.de.
2b-dreamteam-hunde.schule.,ns-de.1and1-dns.org.
2wheels-bike.schule.,ns1050.ui-dns.org.
2wheels-bike.schule.,ns1053.ui-dns.com.
2wheels-bike.schule.,ns1104.ui-dns.de.
2wheels-bike.schule.,ns1126.ui-dns.biz.
2wheels-fahr.schule.,ns1050.ui-dns.org.
2wheels-fahr.schule.,ns1053.ui-dns.com.
2wheels-fahr.schule.,ns1104.ui-dns.de.
2wheels-fahr.schule.,ns1126.ui-dns.biz.
33win.schule.,clyde.ns.cloudflare.com.
33win.schule.,mia.ns.cloudflare.com.
35395.schule.,n1.xundns.com.
35395.schule.,n2.xundns.com.
3562.schule.,ns1.dyna-ns.net.
3562.schule.,ns2.dyna-ns.net.
365.schule.,ns1.dnsimple.com.
365.schule.,ns2.dnsimple-edge.net.
365.schule.,ns3.dnsimple.com.
365.schule.,ns4.dnsimple-edge.org.
37255.schule.,n1.xundns.com.
37255.schule.,n2.xundns.com.
38785.schule.,n1.xundns.com.
38785.schule.,n2.xundns.com.
3d-druck.schule.,ns5.kasserver.com.
3d-druck.schule.,ns6.kasserver.com.
3d-erleben.schule.,docks07.rzone.de.
3d-erleben.schule.,shades09.rzone.de.
3dartist.schule.,ns53.domaincontrol.com.
3dartist.schule.,ns54.domaincontrol.com.
3l.schule.,ns.udag.de.
3l.schule.,ns.udag.net.
3l.schule.,ns.udag.org.
451bit.schule.,docks20.rzone.de.
451bit.schule.,shades10.rzone.de.
4pfoten.schule.,ns5.kasserver.com.
4pfoten.schule.,ns6.kasserver.com.
