hostname,IPv6
a.nic.science.,2001:0dcd:0001:0000:0000:0000:0000:0010
b.nic.science.,2001:0dcd:0002:0000:0000:0000:0000:0010
c.nic.science.,2001:0dcd:0003:0000:0000:0000:0000:0010
d.nic.science.,2001:0dcd:0004:0000:0000:0000:0000:0010
lab.bjmgeek.science.,2602:ffd1:0002:03da:0000:0000:0000:7cb6
lab.bjmgeek.science.,2602:ffd1:0002:03da:0000:0000:0000:beef
m.nic.science.,2610:00a1:315a:0000:0000:0000:0000:0053
n.nic.science.,2610:00a1:325a:0000:0000:0000:0000:0053
ns01.aperture-laboratories.science.,2a0b:6b83:0000:0000:0000:0000:0053:0001
ns02.aperture-laboratories.science.,2a0b:6b83:0000:0000:0000:0000:0053:0002
ns1.dns.nic.science.,2610:00a1:1071:0000:0000:0000:0001:0029
ns2.csm.science.,2602:ffb6:0002:0000:f816:3eff:fe4a:bfc7
ns2.distributedsystems.science.,2a03:2900:0003:0001:0000:0000:0000:0002
ns2.dns.nic.science.,2610:00a1:1072:0000:0000:0000:0001:0029
ns3.distributedsystems.science.,2001:4d8f:0002:0000:0000:0000:0000:0002
ns3.dns.nic.science.,2610:00a1:1073:0000:0000:0000:0001:0029
ns4.distributedsystems.science.,2a03:2902:0003:0001:0000:0000:0000:0002
ns4.dns.nic.science.,2610:00a1:1074:0000:0000:0000:0001:0029
ns5.dns.nic.science.,2610:00a1:1075:0000:0000:0000:0001:0029
ns6.dns.nic.science.,2610:00a1:1076:0000:0000:0000:0001:0029
