hostname,IPv4
a.nic.science.,37.209.192.10
a.ns.barnes.science.,5.161.68.11
b.nic.science.,37.209.194.10
b.ns.barnes.science.,172.105.26.36
blh.geodetic.science.,185.228.27.146
c.nic.science.,37.209.196.10
c.ns.barnes.science.,199.247.17.79
d.nic.science.,37.209.198.10
lab.bjmgeek.science.,199.181.238.151
m.nic.science.,204.74.104.90
n.nic.science.,204.74.106.90
ns.geodesy.science.,92.205.31.9
ns01.aperture-laboratories.science.,185.186.64.254
ns02.aperture-laboratories.science.,185.186.64.253
ns1.amrein.science.,5.196.71.193
ns1.analyse.science.,94.130.208.194
ns1.atlantacloudlabs.science.,209.188.7.190
ns1.bigbangtheory.science.,45.146.202.85
ns1.biggyseoinusa.science.,173.198.193.132
ns1.box.sansa.science.,188.166.102.54
ns1.chemreach.science.,109.228.48.214
ns1.csm.science.,172.81.180.11
ns1.distributedsystems.science.,139.162.242.10
ns1.dns.nic.science.,156.154.169.41
ns1.gagyseocompanysg.science.,173.233.69.5
ns1.hindu.science.,65.254.254.100
ns1.hostrocket.science.,107.175.179.7
ns1.ions.science.,78.46.93.99
ns1.jianglab.science.,138.128.198.102
ns1.joyofalpha.science.,195.20.19.92
ns1.maysonrentkiosk.science.,66.206.47.248
ns1.maysontouchscreens.science.,173.233.89.177
ns1.moldynmech.science.,154.16.14.4
ns1.myblogabout.science.,154.19.184.242
ns1.oceanologia.science.,153.19.130.229
ns1.openweb.science.,193.168.195.126
ns1.pasiphae.science.,147.52.190.10
ns1.readco.science.,109.228.48.214
ns1.simone.science.,5.157.111.25
ns2.analyse.science.,94.130.208.194
ns2.atlantacloudlabs.science.,209.188.7.191
ns2.bigbangtheory.science.,45.146.202.85
ns2.biggyseoinusa.science.,173.198.193.132
ns2.box.sansa.science.,188.166.102.54
ns2.chemreach.science.,109.228.48.214
ns2.distributedsystems.science.,134.0.30.178
ns2.dns.nic.science.,156.154.170.41
ns2.gagyseocompanysg.science.,173.233.69.5
ns2.hindu.science.,65.254.254.101
ns2.hostrocket.science.,107.175.179.7
ns2.ions.science.,78.46.18.59
ns2.jianglab.science.,138.128.198.102
ns2.joyofalpha.science.,195.20.19.92
ns2.maysonrentkiosk.science.,66.206.47.248
ns2.maysontouchscreens.science.,173.233.89.177
ns2.moldynmech.science.,192.227.204.21
ns2.myblogabout.science.,154.19.184.242
ns2.oceanologia.science.,153.19.130.230
ns2.openweb.science.,193.168.195.126
ns2.pasiphae.science.,147.52.181.10
ns2.readco.science.,109.228.48.214
ns2.simone.science.,5.157.111.25
ns3.distributedsystems.science.,194.50.113.2
ns3.dns.nic.science.,156.154.171.41
ns3.ions.science.,95.216.53.18
ns4.distributedsystems.science.,194.126.196.2
ns4.dns.nic.science.,156.154.172.41
ns5.dns.nic.science.,156.154.173.41
ns6.dns.nic.science.,156.154.174.41
xyz.geodetic.science.,185.228.27.146
